学名,科,属,体重g,頭胴長mm,新生児体重g,集団サイズ,妊娠期間日,離乳日齢,初産日齢,出産間隔日,一腹産子数,最長寿命月,行動圏km2,個体群密度,分布域km2,栄養段階,生息環境幅,平均気温C,月降水量mm
Allenopithecus nigroviridis,オナガザル科,Allenopithecus,4749.96,459.99,240.71,40.0,-999.0,106.15,-999.0,-999.0,1.01,276.0,-999.0,-999.0,609031.19,-999,-999.0,25.2,157.4
Allocebus trichotis,コビトキツネザル科,Allocebus,78.09,133.99,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,42488.06,2,1.0,20.3,190.23
Alouatta belzebul,クモザル科,Alouatta,6157.91,550.38,-999.0,7.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.0,1899561.77,-999,1.0,24.9,164.35
Alouatta caraya,クモザル科,Alouatta,5576.96,558.16,260.6,8.9,185.92,323.16,1354.15,337.62,1.01,243.6,-999.0,80.0,1534736.35,1,-999.0,22.9,116.64
Alouatta coibensis,クモザル科,Alouatta,-999.0,-999.0,-999.0,5.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1159.16,-999,-999.0,26.6,162.0
Alouatta guariba,クモザル科,Alouatta,5188.33,514.53,-999.0,7.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.03,89.09,825479.22,1,1.0,19.6,133.23
Alouatta macconnelli,クモザル科,Alouatta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1679178.24,-999,-999.0,25.0,162.09
Alouatta nigerrima,クモザル科,Alouatta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,183994.3,-999,-999.0,25.7,170.18
Alouatta palliata,クモザル科,Alouatta,6576.99,576.35,318.29,13.1,185.42,495.6,1382.13,684.37,1.02,300.0,0.19,58.99,559554.92,1,1.0,23.7,185.26
Alouatta pigra,クモザル科,Alouatta,7172.06,566.94,480.0,5.5,185.92,-999.0,-999.0,-999.0,1.01,240.0,0.3,8.53,91384.8,1,1.0,25.1,134.13
Alouatta sara,クモザル科,Alouatta,6611.04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,526742.28,-999,-999.0,24.5,109.48
Alouatta seniculus,クモザル科,Alouatta,6398.31,560.21,293.42,7.9,189.9,370.04,1671.7,507.35,1.42,300.0,0.1,44.49,2516845.21,2,1.0,25.1,182.34
Aotus azarae,ヨザル科,Aotus,929.57,-999.0,-999.0,4.1,-999.0,229.69,-999.0,365.0,1.0,-999.0,-999.0,15.94,663508.32,2,1.0,24.6,101.09
Aotus hershkovitzi,ヨザル科,Aotus,800.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5811.51,2,1.0,21.0,129.17
Aotus lemurinus,ヨザル科,Aotus,865.96,305.0,97.47,-999.0,132.23,74.57,-999.0,365.0,1.01,216.0,-999.0,35.43,321845.55,2,1.0,24.2,190.02
Aotus miconax,ヨザル科,Aotus,800.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,70306.69,2,1.0,24.1,141.98
Aotus nancymaae,ヨザル科,Aotus,791.03,-999.0,-999.0,4.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,28.16,157985.99,2,1.0,26.1,228.04
Aotus nigriceps,ヨザル科,Aotus,1057.0,357.99,-999.0,3.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,38.0,1674555.55,2,1.0,25.2,180.71
Aotus trivirgatus,ヨザル科,Aotus,912.4,357.99,96.49,3.15,133.47,76.21,883.3,271.0,1.06,303.6,0.02,24.37,590942.02,2,1.0,24.8,178.6
Aotus vociferans,ヨザル科,Aotus,872.99,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,23.51,1226115.0,1,1.0,25.3,217.44
Arctocebus aureus,ロリス科,Arctocebus,234.16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,878239.93,-999,-999.0,24.5,150.36
Arctocebus calabarensis,ロリス科,Arctocebus,258.01,239.99,31.82,1.0,133.74,109.26,417.92,144.47,1.01,156.0,-999.0,6.2,185093.8,2,-999.0,24.8,184.44
Ateles belzebuth,クモザル科,Ateles,6692.42,459.3,-999.0,14.5,138.2,-999.0,-999.0,-999.0,1.02,336.0,2.28,13.49,1030364.23,1,1.0,25.8,227.01
Ateles chamek,クモザル科,Ateles,7053.92,454.28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.16,3.39,990902.31,1,1.0,25.5,194.51
